Mes,Linea_Producto,Unidades_Vendidas,Precio_Medio,Ingresos_EUR,Devoluciones,Coste_Variable_EUR
2025-05,Café_en_grano,1240,18.50,22940,12,9176
2025-05,Cápsulas,3180,9.90,31482,45,15741
2025-05,Cold_Brew_botella,820,5.50,4510,8,2255
2025-05,Merchandising,310,22.00,6820,2,3410
2025-05,Suscripcion_mensual,425,29.00,12325,3,2465
2025-06,Café_en_grano,1310,18.50,24235,15,9694
2025-06,Cápsulas,3450,9.90,34155,52,17078
2025-06,Cold_Brew_botella,1180,5.50,6490,11,3245
2025-06,Merchandising,290,22.00,6380,3,3190
2025-06,Suscripcion_mensual,468,29.00,13572,4,2714
2025-07,Café_en_grano,1180,18.50,21830,18,8732
2025-07,Cápsulas,3320,9.90,32868,40,16434
2025-07,Cold_Brew_botella,1620,5.50,8910,9,4455
2025-07,Merchandising,265,22.00,5830,1,2915
2025-07,Suscripcion_mensual,512,29.00,14848,5,2970
2025-08,Café_en_grano,990,18.50,18315,10,7326
2025-08,Cápsulas,2810,9.90,27819,30,13910
2025-08,Cold_Brew_botella,1890,5.50,10395,12,5198
2025-08,Merchandising,220,22.00,4840,2,2420
2025-08,Suscripcion_mensual,548,29.00,15892,7,3178
2025-09,Café_en_grano,1420,18.50,26270,22,10508
2025-09,Cápsulas,3680,9.90,36432,55,18216
2025-09,Cold_Brew_botella,1240,5.50,6820,10,3410
2025-09,Merchandising,380,22.00,8360,4,4180
2025-09,Suscripcion_mensual,602,29.00,17458,6,3492
2025-10,Café_en_grano,1510,18.50,27935,20,11174
2025-10,Cápsulas,3920,9.90,38808,62,19404
2025-10,Cold_Brew_botella,710,5.50,3905,5,1953
2025-10,Merchandising,440,22.00,9680,3,4840
2025-10,Suscripcion_mensual,651,29.00,18879,8,3776
2025-11,Café_en_grano,1820,18.50,33670,25,13468
2025-11,Cápsulas,4150,9.90,41085,70,20543
2025-11,Cold_Brew_botella,520,5.50,2860,4,1430
2025-11,Merchandising,890,22.00,19580,8,9790
2025-11,Suscripcion_mensual,690,29.00,20010,7,4002
2025-12,Café_en_grano,2310,18.50,42735,32,17094
2025-12,Cápsulas,4980,9.90,49302,88,24651
2025-12,Cold_Brew_botella,420,5.50,2310,3,1155
2025-12,Merchandising,1220,22.00,26840,18,13420
2025-12,Suscripcion_mensual,724,29.00,20996,5,4199
2026-01,Café_en_grano,1180,18.50,21830,15,8732
2026-01,Cápsulas,3490,9.90,34551,50,17276
2026-01,Cold_Brew_botella,380,5.50,2090,4,1045
2026-01,Merchandising,310,22.00,6820,3,3410
2026-01,Suscripcion_mensual,752,29.00,21808,4,4362
2026-02,Café_en_grano,1240,18.50,22940,18,9176
2026-02,Cápsulas,3580,9.90,35442,48,17721
2026-02,Cold_Brew_botella,460,5.50,2530,5,1265
2026-02,Merchandising,340,22.00,7480,2,3740
2026-02,Suscripcion_mensual,789,29.00,22881,6,4576
2026-03,Café_en_grano,1380,18.50,25530,20,10212
2026-03,Cápsulas,3720,9.90,36828,55,18414
2026-03,Cold_Brew_botella,680,5.50,3740,7,1870
2026-03,Merchandising,395,22.00,8690,3,4345
2026-03,Suscripcion_mensual,812,29.00,23548,7,4710
2026-04,Café_en_grano,1450,18.50,26825,22,10730
2026-04,Cápsulas,3890,9.90,38511,58,19256
2026-04,Cold_Brew_botella,990,5.50,5445,9,2723
2026-04,Merchandising,420,22.00,9240,4,4620
2026-04,Suscripcion_mensual,841,29.00,24389,5,4878
